,loss,accuracy,val_loss,val_accuracy
0,1.853609,0.248445,2.003999,0.248374
1,1.691744,0.326516,2.933542,0.160125
2,1.552911,0.393093,1.768093,0.341849
3,1.422387,0.449918,10.339717,0.377264
4,1.406637,0.456635,1.552622,0.414306
5,1.304635,0.498433,1.434887,0.469113
6,1.198122,0.546748,1.456455,0.459011
7,1.082889,0.593422,1.539101,0.456804
8,1.056311,0.603821,1.592019,0.456804
9,0.843578,0.689755,2.069598,0.416280
10,0.642853,0.769219,2.081117,0.444496
11,0.434248,0.847291,2.845254,0.442058
12,0.293756,0.899189,2.740678,0.436948
13,0.193642,0.934269,3.449965,0.457850
14,0.152817,0.949495,3.362648,0.465629
15,0.134482,0.955864,3.329869,0.477009
16,0.104087,0.964323,4.155992,0.483395
17,0.083894,0.972185,3.686876,0.469926
18,0.233633,0.929293,3.142653,0.434858
19,0.079291,0.973678,3.663600,0.469810